Dataset,Detector,WindowType,TriggerN,DriftType,Precision,Recall,F1,LatencyDocs,LatencyMs,FAR,D1,D2,R
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,83.5,18725.5,0.000856,0.0,390.6667,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,20.0,420.0,2.0,1.0
newsgroups,padd,sliding,100,gradual,1.0,1.0,1.0,179.0,23158.0,0.0,20.0,420.0,2.0,0.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,20.0,420.0,2.0,1.0
newsgroups,padd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,179.0,23158.0,0.0,20.0,420.0,2.0,0.6667
newsgroups,mmd,sliding,100,sudden,0.3333,1.0,0.5,215.0,35938.0,0.001702,0.0,381.0,0.5,2.0
newsgroups,mmd,sliding,100,gradual,0.3333,1.0,0.5,57.0,9755.0,0.001702,0.0,381.0,0.5,2.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.001702,0.0,381.0,0.5,3.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.5,0.6667,0.5714,136.0,22846.5,0.001702,0.0,381.0,0.5,1.0
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,20.0,417.3333,2.0,1.0
newsgroups,padd,sliding,100,gradual,1.0,1.0,1.0,187.0,23783.0,0.0,20.0,417.3333,2.0,0.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,20.0,417.3333,2.0,1.0
newsgroups,padd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,187.0,23783.0,0.0,20.0,417.3333,2.0,0.6667
newsgroups,mmd,sliding,100,sudden,0.5,1.0,0.6667,222.0,31026.0,0.000844,0.0,361.6667,0.5,1.0
newsgroups,mmd,sliding,100,gradual,0.5,1.0,0.6667,115.0,14847.0,0.000844,0.0,361.6667,0.5,1.0
newsgroups,mmd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.000844,0.0,361.6667,0.5,2.0
newsgroups,mmd,sliding,100,__GLOBAL__,0.6667,0.6667,0.6667,168.5,22936.5,0.000844,0.0,361.6667,0.5,0.6667
newsgroups,padd,sliding,100,sudden,0.0,0.0,0.0,nan,nan,0.0,146.0,455.3333,2.0,1.0
newsgroups,padd,sliding,100,gradual,1.0,1.0,1.0,325.0,37685.0,0.0,146.0,455.3333,2.0,0.0
newsgroups,padd,sliding,100,recurring,0.0,0.0,0.0,nan,nan,0.0,146.0,455.3333,2.0,1.0
newsgroups,padd,sliding,100,__GLOBAL__,1.0,0.3333,0.5,325.0,37685.0,0.0,146.0,455.3333,2.0,0.6667
newsgroups,mmd,sliding,100,sudden,0.25,1.0,0.4,79.0,32845.0,0.002573,0.0,374.0,0.5,3.0
newsgroups,mmd,sliding,100,gradual,0.25,1.0,0.4,78.0,12815.0,0.002573,0.0,374.0,0.5,3.0
